Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobSatisfaction,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,31.0,Travel_Rarely,Sales,7,3,Marketing,4,4,7,7.0,1,7
No,32.0,Travel_Rarely,Research & Development,2,4,Medical,4,3,7,7.0,0,7
Yes,28.0,Travel_Rarely,Research & Development,2,4,Medical,4,4,3,2.0,2,2
No,30.0,Travel_Rarely,Research & Development,28,2,Medical,4,4,10,8.0,1,9
No,31.0,Travel_Frequently,Research & Development,7,2,Life Sciences,3,1,10,9.0,8,9
No,39.0,Travel_Frequently,Research & Development,7,2,Medical,4,1,21,9.0,13,3
Yes,39.0,Travel_Rarely,Sales,3,2,Medical,3,1,1,0.0,0,0
No,33.0,Travel_Frequently,Sales,10,3,Marketing,4,3,7,,0,1
No,47.0,Travel_Rarely,Research & Development,5,5,Life Sciences,3,2,3,2.0,1,1
No,43.0,,Research & Development,10,4,Life Sciences,3,2,9,7.0,0,0
No,27.0,Non-Travel,Sales,1,1,Marketing,2,4,5,4.0,1,4
No,54.0,Travel_Frequently,Research & Development,20,4,Life Sciences,3,4,4,3.0,0,3
No,43.0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1,1,0.0,0,0
No,45.0,Travel_Rarely,Research & Development,8,4,Other,4,1,10,9.0,9,8
No,40.0,Travel_Rarely,Sales,1,2,Medical,4,3,4,3.0,0,2
Yes,29.0,Travel_Rarely,Research & Development,8,4,Other,1,4,7,,0,7
No,29.0,Travel_Rarely,Research & Development,9,5,Other,4,3,3,2.0,2,2
No,30.0,Travel_Rarely,Sales,5,3,Marketing,3,3,10,9.0,1,2
No,27.0,,Sales,8,4,Marketing,2,1,8,7.0,0,7
No,,Travel_Rarely,Research & Development,5,2,Medical,4,3,6,,0,4
No,38.0,Travel_Rarely,Research & Development,15,2,Life Sciences,4,2,11,10.0,2,9
No,31.0,Travel_Rarely,Research & Development,7,4,Medical,4,3,11,9.0,4,10
No,29.0,Travel_Rarely,Sales,10,1,Marketing,2,1,7,7.0,1,7
No,35.0,Travel_Rarely,Research & Development,5,4,Technical Degree,2,4,16,6.0,0,13
No,23.0,Travel_Rarely,Research & Development,26,1,Life Sciences,4,3,4,2.0,0,2
No,41.0,Travel_Rarely,Research & Development,6,3,Medical,2,4,5,4.0,1,2
No,47.0,Travel_Frequently,Sales,4,1,Medical,3,1,0,,0,0
No,42.0,Travel_Rarely,Research & Development,23,5,Life Sciences,4,2,1,0.0,0,0
No,29.0,Non-Travel,Sales,2,3,Life Sciences,3,1,4,3.0,0,2
No,42.0,Travel_Rarely,Human Resources,2,1,Technical Degree,3,3,3,,1,0
No,32.0,Travel_Rarely,Research & Development,2,3,Medical,2,3,8,0.0,0,7
No,48.0,Travel_Rarely,Sales,29,1,Medical,3,2,0,0.0,0,0
No,37.0,Travel_Rarely,Research & Development,6,3,Medical,1,1,7,7.0,6,7
No,,Non-Travel,Sales,25,2,Technical Degree,3,2,2,2.0,2,2
No,26.0,Travel_Rarely,Sales,1,3,Life Sciences,3,2,8,7.0,7,7
No,42.0,,Research & Development,2,4,Other,4,2,1,0.0,0,0
Yes,21.0,Travel_Frequently,Sales,1,1,Technical Degree,2,3,3,2.0,1,2
No,36.0,Non-Travel,Sales,1,5,Medical,4,2,1,0.0,0,0
No,36.0,Travel_Frequently,Sales,3,4,Medical,4,1,13,9.0,1,12
No,57.0,Travel_Rarely,Research & Development,1,4,Medical,3,3,3,2.0,1,2
No,40.0,,Research & Development,10,4,Life Sciences,3,3,7,7.0,1,7
No,21.0,Non-Travel,Sales,9,2,Medical,4,3,3,2.0,2,2
Yes,33.0,Travel_Rarely,Sales,5,3,Marketing,3,2,1,0.0,0,0
No,37.0,Travel_Rarely,Research & Development,10,3,Medical,1,2,5,4.0,0,3
No,46.0,Non-Travel,Research & Development,7,4,Medical,3,3,1,0.0,0,0
Yes,41.0,,Sales,4,3,Marketing,2,3,8,7.0,7,7
No,50.0,Travel_Rarely,Research & Development,10,3,Technical Degree,4,4,4,3.0,1,3
Yes,40.0,Travel_Rarely,Sales,22,2,Marketing,3,1,6,4.0,1,0
No,31.0,Travel_Rarely,Research & Development,9,4,Life Sciences,2,4,2,2.0,2,2
Yes,,Travel_Rarely,Sales,12,3,Life Sciences,2,4,1,0.0,0,0
No,29.0,Travel_Rarely,Research & Development,23,3,Life Sciences,4,4,3,2.0,1,2
No,35.0,Travel_Rarely,Research & Development,9,4,Life Sciences,2,3,1,1.0,0,0
No,27.0,Travel_Rarely,Research & Development,1,2,Medical,2,2,5,2.0,0,4
No,28.0,Travel_Rarely,Sales,9,4,Life Sciences,4,4,7,,0,7
No,49.0,Travel_Rarely,Research & Development,7,3,Other,3,3,5,2.0,0,0
No,51.0,Travel_Rarely,Sales,14,2,Life Sciences,4,3,7,7.0,0,7
No,36.0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,2,2,2.0,2,2
Yes,34.0,Non-Travel,Sales,19,3,Marketing,4,2,5,2.0,0,4
No,55.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,5,4.0,1,2
No,24.0,Travel_Rarely,Sales,10,4,Marketing,3,4,5,,0,3
No,30.0,Travel_Rarely,Sales,2,1,Technical Degree,2,1,1,0.0,0,0
Yes,26.0,Travel_Frequently,Research & Development,3,1,Technical Degree,1,3,6,4.0,0,4
No,22.0,Travel_Rarely,Research & Development,11,3,Medical,2,4,2,1.0,1,2
No,36.0,Travel_Rarely,Sales,2,2,Medical,3,2,10,9.0,9,0
Yes,,,Research & Development,4,3,Technical Degree,4,3,1,0.0,0,0
No,,Travel_Rarely,Research & Development,14,3,Life Sciences,1,3,18,7.0,12,17
No,40.0,Travel_Rarely,Sales,2,2,Marketing,2,3,5,4.0,1,3
No,42.0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2,5,,1,2
No,37.0,Travel_Rarely,Research & Development,10,4,Life Sciences,2,4,1,0.0,0,1
No,43.0,Travel_Rarely,Research & Development,12,3,Life Sciences,2,3,25,10.0,3,9
No,40.0,,Research & Development,2,3,Medical,3,2,1,0.0,0,0
No,54.0,Travel_Rarely,Research & Development,5,2,Medical,1,3,4,2.0,1,2
No,34.0,Non-Travel,Sales,4,4,Marketing,3,1,3,2.0,1,2
No,31.0,Travel_Rarely,Research & Development,7,2,Medical,1,2,13,10.0,3,12
No,43.0,Travel_Frequently,Research & Development,21,3,Medical,4,1,3,2.0,1,2
No,43.0,Travel_Rarely,Research & Development,8,4,Other,3,4,5,2.0,0,2
No,25.0,Travel_Rarely,Sales,4,2,Life Sciences,4,2,5,4.0,1,3
No,37.0,Non-Travel,Research & Development,25,5,Medical,3,1,13,11.0,10,7
No,31.0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,3,4,2.0,3,2
No,39.0,Travel_Frequently,Research & Development,1,1,Life Sciences,3,3,21,8.0,1,6
No,56.0,Travel_Frequently,Sales,6,3,Life Sciences,1,4,7,,7,7
No,30.0,Travel_Rarely,Sales,12,3,Technical Degree,3,2,5,4.0,4,4
No,41.0,Travel_Rarely,Sales,1,3,Marketing,1,3,10,7.0,0,7
No,28.0,Travel_Rarely,Research & Development,17,2,Medical,1,4,10,0.0,1,8
Yes,25.0,,Research & Development,3,3,Medical,1,3,2,2.0,0,2
No,52.0,Travel_Rarely,Research & Development,3,3,Medical,3,3,5,4.0,0,4
No,,Travel_Rarely,Research & Development,10,2,Life Sciences,4,4,2,2.0,0,2
No,52.0,,Research & Development,4,2,Life Sciences,4,4,5,2.0,1,4
No,42.0,Travel_Frequently,Research & Development,29,2,Life Sciences,3,2,5,4.0,0,2
No,30.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,5,4.0,0,2
No,60.0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,4,29,8.0,11,10
No,46.0,Travel_Rarely,Research & Development,18,3,Medical,3,3,10,7.0,0,8
No,42.0,Travel_Frequently,Research & Development,28,4,Technical Degree,4,4,6,5.0,0,4
Yes,24.0,Travel_Rarely,Sales,1,1,Technical Degree,2,2,5,3.0,1,4
Yes,34.0,Travel_Frequently,Sales,6,2,Marketing,3,4,2,2.0,1,0
No,38.0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,3,1,0.0,0,0
No,40.0,Travel_Rarely,Sales,2,4,Life Sciences,3,4,20,15.0,1,12
No,26.0,Travel_Rarely,Research & Development,23,3,Life Sciences,4,2,3,2.0,0,2
No,30.0,Non-Travel,Research & Development,3,3,Life Sciences,4,3,5,3.0,1,4
No,29.0,Travel_Rarely,Research & Development,3,4,Medical,3,3,10,2.0,0,7
Yes,29.0,Travel_Rarely,Research & Development,25,5,Technical Degree,2,2,2,2.0,1,1
Yes,19.0,,Human Resources,2,2,Technical Degree,4,3,1,0.0,0,0
No,30.0,Non-Travel,Sales,22,4,Other,1,3,9,8.0,7,8
No,57.0,Travel_Rarely,Sales,29,3,Marketing,4,3,1,0.0,0,0
No,50.0,Travel_Rarely,Research & Development,29,4,Life Sciences,3,2,27,10.0,15,7
No,30.0,Non-Travel,Research & Development,2,3,Medical,4,3,11,7.0,6,7
No,60.0,Travel_Frequently,Sales,28,3,Marketing,1,4,18,13.0,13,11
No,47.0,,Research & Development,2,2,Medical,4,3,5,,0,4
No,46.0,,Research & Development,2,3,Life Sciences,3,3,3,2.0,0,1
No,35.0,Travel_Rarely,Research & Development,22,3,Life Sciences,3,3,5,4.0,4,3
No,54.0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,3,1,0.0,0,0
No,34.0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,3,7,3.0,5,7
No,46.0,,Sales,10,3,Marketing,4,3,3,2.0,1,2
No,31.0,Travel_Rarely,Research & Development,9,1,Life Sciences,2,4,13,8.0,0,8
Yes,33.0,Travel_Rarely,Research & Development,15,1,Medical,3,4,7,6.0,7,7
Yes,,Travel_Rarely,Research & Development,10,1,Medical,4,1,4,3.0,1,3
No,30.0,Travel_Rarely,Sales,7,1,Marketing,2,1,3,,1,2
No,35.0,Travel_Rarely,Research & Development,16,3,Life Sciences,3,3,8,7.0,0,0
Yes,31.0,Travel_Frequently,Research & Development,20,3,Life Sciences,3,1,1,0.0,0,0
Yes,34.0,Travel_Frequently,Human Resources,23,3,Human Resources,1,3,3,2.0,0,2
No,42.0,Travel_Frequently,Research & Development,5,2,Other,3,4,2,2.0,2,0
No,36.0,Non-Travel,Sales,10,4,Medical,4,4,10,3.0,9,7
Yes,22.0,Travel_Frequently,Research & Development,4,1,Technical Degree,3,3,2,2.0,1,2
No,48.0,Travel_Rarely,Sales,2,5,Marketing,4,1,9,,6,7
No,55.0,Travel_Rarely,Sales,18,5,Life Sciences,2,4,10,9.0,7,7
No,41.0,Non-Travel,Sales,10,2,Life Sciences,4,4,14,3.0,1,10
No,35.0,Travel_Rarely,Sales,1,3,Marketing,3,3,11,9.0,6,9
No,40.0,Travel_Rarely,Research & Development,6,3,Life Sciences,3,3,20,6.0,5,13
No,,Travel_Frequently,Research & Development,8,1,Life Sciences,3,1,8,3.0,0,7
No,31.0,Travel_Rarely,Sales,2,1,Life Sciences,4,3,6,5.0,0,5
No,42.0,Travel_Rarely,Research & Development,24,3,Medical,1,4,10,9.0,5,8
No,45.0,Travel_Rarely,Sales,2,3,Other,2,2,8,7.0,3,7
Yes,26.0,Travel_Frequently,Human Resources,17,4,Life Sciences,3,2,7,7.0,1,0
No,29.0,Travel_Rarely,Research & Development,19,3,Technical Degree,4,2,3,2.0,1,2
No,33.0,Travel_Rarely,Research & Development,1,5,Medical,3,3,6,1.0,0,5
No,31.0,Travel_Rarely,Sales,7,3,Life Sciences,4,3,5,4.0,0,1
Yes,18.0,Travel_Frequently,Sales,5,3,Marketing,2,4,0,,0,0
No,40.0,Non-Travel,Sales,28,3,Other,1,3,1,0.0,0,1
No,41.0,,Research & Development,2,4,Other,3,1,8,7.0,0,7
No,26.0,Travel_Rarely,Sales,29,2,Medical,3,1,0,0.0,0,0
No,,Travel_Rarely,Sales,1,3,Medical,3,4,5,4.0,0,3
No,34.0,Travel_Rarely,Sales,21,4,Life Sciences,4,4,10,7.0,5,7
Yes,26.0,Travel_Rarely,Research & Development,24,3,Technical Degree,4,2,1,0.0,0,0
No,37.0,Travel_Rarely,Research & Development,1,3,Technical Degree,4,4,6,5.0,1,2
No,46.0,Travel_Frequently,Research & Development,18,1,Medical,3,4,2,2.0,1,2
No,41.0,Travel_Rarely,Sales,2,5,Life Sciences,1,2,18,16.0,11,8
No,37.0,Non-Travel,Sales,9,4,Medical,2,4,9,5.0,7,7
No,52.0,Travel_Rarely,Research & Development,6,2,Technical Degree,1,2,10,9.0,6,9
Yes,,Non-Travel,Sales,11,4,Other,3,4,4,2.0,1,2
No,24.0,Travel_Frequently,Sales,24,3,Medical,4,3,2,,2,1
No,38.0,Travel_Rarely,Research & Development,10,3,Medical,3,3,1,0.0,0,0
No,37.0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,2,6,5.0,4,3
No,49.0,Travel_Rarely,Research & Development,18,4,Life Sciences,3,3,31,,0,9
No,24.0,Travel_Rarely,Research & Development,23,3,Medical,4,2,6,5.0,1,4
No,26.0,,Sales,28,2,Marketing,2,4,5,3.0,1,4
No,24.0,Travel_Rarely,Research & Development,17,2,Other,2,4,1,0.0,0,0
No,50.0,Travel_Frequently,Human Resources,3,3,Medical,2,3,32,5.0,10,7
No,25.0,Travel_Rarely,Sales,13,1,Medical,3,3,7,4.0,0,6
Yes,24.0,Travel_Frequently,Research & Development,7,3,Life Sciences,3,4,6,3.0,1,2
Yes,30.0,Travel_Frequently,Sales,12,4,Life Sciences,1,3,1,0.0,0,0
No,34.0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,4,6,5.0,1,3
Yes,31.0,Travel_Rarely,Sales,13,4,Medical,1,3,3,1.0,1,2
No,35.0,Travel_Rarely,Research & Development,25,2,Other,4,4,3,,0,2
No,31.0,Travel_Rarely,Sales,6,4,Medical,4,4,7,,5,7
No,27.0,Travel_Rarely,Research & Development,6,4,Medical,3,3,5,3.0,0,3
No,37.0,Travel_Rarely,Sales,2,3,Marketing,3,3,3,0.0,1,0
No,20.0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,4,1,0.0,0,0
No,42.0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,2,10,2.0,2,2
No,43.0,Travel_Rarely,Research & Development,6,4,Other,4,3,1,0.0,0,0
No,38.0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,4,0,0.0,0,0
No,43.0,Travel_Frequently,Research & Development,9,5,Medical,3,2,8,7.0,4,7
No,48.0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1,3,2.0,0,2
No,44.0,Travel_Rarely,Human Resources,1,4,Life Sciences,3,2,2,2.0,0,2
No,34.0,Travel_Rarely,Sales,14,3,Technical Degree,3,4,8,2.0,0,6
Yes,27.0,Travel_Rarely,Sales,2,1,Marketing,1,2,4,3.0,0,2
No,21.0,Travel_Rarely,Sales,22,1,Technical Degree,3,3,3,2.0,1,2
No,44.0,Travel_Rarely,Research & Development,3,4,Other,4,1,2,2.0,0,1
No,22.0,Travel_Rarely,Research & Development,6,1,Medical,3,4,2,2.0,2,2
No,,Travel_Rarely,Sales,8,4,Marketing,3,4,5,0.0,1,2
No,32.0,,Research & Development,9,4,Life Sciences,4,4,6,,0,5
No,30.0,Travel_Frequently,Research & Development,3,3,Medical,3,3,1,0.0,0,0
No,53.0,Travel_Rarely,Sales,1,1,Medical,1,4,14,7.0,8,10
No,34.0,,Research & Development,1,5,Life Sciences,4,4,10,,8,8
Yes,45.0,Travel_Frequently,Sales,26,4,Life Sciences,1,4,1,1.0,0,0
No,26.0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,3,3,2.0,0,2
No,37.0,Travel_Rarely,Research & Development,3,3,Other,3,3,10,7.0,7,8
No,29.0,Travel_Rarely,Sales,3,2,Medical,3,1,6,0.0,1,2
No,35.0,Travel_Rarely,Research & Development,6,4,Life Sciences,4,2,17,11.0,11,8
No,33.0,Travel_Frequently,Research & Development,6,3,Life Sciences,4,3,13,,4,7
No,54.0,Travel_Rarely,Human Resources,19,4,Medical,2,3,9,7.0,7,1
No,36.0,Travel_Rarely,Research & Development,9,2,Medical,2,3,3,2.0,0,2
No,27.0,Travel_Rarely,Research & Development,3,4,Medical,4,4,4,2.0,1,1
Yes,20.0,Travel_Rarely,Research & Development,10,1,Medical,3,4,1,0.0,1,1
Yes,33.0,Travel_Frequently,Research & Development,3,3,Life Sciences,1,1,10,8.0,9,7
No,35.0,Non-Travel,Research & Development,3,3,Life Sciences,3,3,1,0.0,0,0
No,23.0,Travel_Rarely,Research & Development,4,3,Medical,1,1,3,2.0,0,2
No,25.0,,Sales,8,3,Life Sciences,2,3,3,2.0,1,2
No,38.0,Travel_Rarely,Sales,7,4,Marketing,4,1,7,7.0,0,5
No,29.0,,Research & Development,1,4,Life Sciences,4,4,10,7.0,2,8
No,48.0,Travel_Rarely,Sales,2,1,Marketing,2,4,2,2.0,2,2
No,,Travel_Frequently,Sales,3,1,Medical,4,2,6,5.0,0,4
No,37.0,Travel_Rarely,Research & Development,10,2,Life Sciences,4,1,1,0.0,0,0
No,,Travel_Rarely,Research & Development,28,1,Medical,3,3,20,8.0,3,8
No,34.0,Travel_Rarely,Research & Development,9,3,Medical,2,2,8,7.0,7,7
Yes,24.0,Travel_Rarely,Sales,3,2,Life Sciences,3,1,2,2.0,2,0
No,39.0,,Research & Development,2,4,Technical Degree,3,1,20,7.0,11,10
No,32.0,Travel_Rarely,Sales,10,3,Marketing,4,4,10,7.0,0,8
Yes,50.0,Travel_Frequently,Sales,8,2,Technical Degree,3,1,4,3.0,1,3
No,38.0,,Research & Development,1,4,Life Sciences,4,3,9,7.0,1,8
No,27.0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,4,9,7.0,0,7
No,32.0,Travel_Rarely,Research & Development,3,2,Life Sciences,4,4,7,7.0,7,7
No,47.0,Travel_Rarely,Sales,14,4,Marketing,1,4,7,7.0,1,7
No,40.0,Travel_Frequently,Sales,5,4,Life Sciences,1,3,18,13.0,1,12
No,53.0,Travel_Rarely,Research & Development,7,3,Life Sciences,3,3,5,1.0,1,3
No,41.0,Travel_Rarely,Human Resources,10,4,Human Resources,4,2,21,6.0,12,6
No,,Travel_Rarely,Sales,16,4,Marketing,1,4,2,2.0,2,2
No,27.0,,Research & Development,10,2,Life Sciences,1,3,9,7.0,1,7
No,41.0,Travel_Rarely,Human Resources,1,3,Human Resources,3,2,22,7.0,2,10
No,,Travel_Rarely,Sales,8,4,Marketing,2,4,2,2.0,2,2
Yes,28.0,Travel_Rarely,Research & Development,1,2,Life Sciences,2,4,7,7.0,3,7
No,36.0,Non-Travel,Research & Development,8,3,Life Sciences,1,1,8,7.0,0,5
No,38.0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,4,1,0.0,0,0
No,44.0,Non-Travel,Research & Development,24,3,Medical,3,3,5,2.0,1,4
No,47.0,,Sales,3,3,Medical,3,4,22,2.0,11,13
No,30.0,Travel_Rarely,Sales,27,5,Marketing,4,4,8,7.0,7,7
No,29.0,Travel_Rarely,Sales,10,3,Life Sciences,3,3,1,0.0,0,0
Yes,42.0,Travel_Frequently,Research & Development,19,3,Medical,3,4,2,2.0,2,2
No,43.0,Travel_Frequently,Sales,15,3,Life Sciences,4,3,2,2.0,2,2
No,34.0,Travel_Rarely,Research & Development,8,2,Medical,3,4,5,1.0,4,3
No,23.0,Travel_Rarely,Research & Development,9,1,Medical,1,4,4,3.0,0,2
No,39.0,,Human Resources,3,3,Human Resources,2,3,8,,3,6
No,56.0,Travel_Rarely,Research & Development,9,3,Medical,4,3,10,7.0,1,1
No,40.0,Travel_Rarely,Research & Development,2,1,Medical,4,4,4,2.0,2,3
No,27.0,Travel_Rarely,Research & Development,7,3,Medical,1,1,7,6.0,0,7
No,29.0,Travel_Rarely,Sales,10,3,Marketing,2,4,2,2.0,2,2
No,53.0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,4,2,2.0,2,2
No,35.0,Non-Travel,Research & Development,2,4,Life Sciences,1,1,1,0.0,0,0
No,32.0,Travel_Frequently,Research & Development,24,4,Life Sciences,4,4,10,8.0,4,7
No,38.0,Travel_Rarely,Research & Development,2,5,Medical,3,2,1,0.0,0,1
No,34.0,Travel_Rarely,Research & Development,8,5,Life Sciences,1,3,0,0.0,0,0
No,52.0,Travel_Rarely,Sales,3,4,Marketing,1,1,34,6.0,1,16
Yes,33.0,Travel_Rarely,Research & Development,1,4,Other,4,3,10,9.0,7,8
No,25.0,Travel_Rarely,Sales,26,1,Medical,4,2,6,5.0,1,4
No,,Travel_Rarely,Sales,2,2,Technical Degree,3,1,8,7.0,3,1
No,23.0,Travel_Rarely,Research & Development,10,1,Medical,3,4,2,2.0,0,2
Yes,47.0,Travel_Frequently,Sales,27,2,Life Sciences,3,4,5,,1,3
No,34.0,Travel_Rarely,Sales,2,3,Other,4,3,6,5.0,1,4
Yes,55.0,,Research & Development,2,3,Medical,1,4,5,2.0,1,4
No,36.0,Non-Travel,Sales,8,4,Life Sciences,1,2,10,7.0,0,9
No,52.0,Non-Travel,Research & Development,19,4,Medical,4,1,4,3.0,1,2
No,26.0,Travel_Frequently,Research & Development,1,2,Life Sciences,4,1,2,2.0,2,0
No,29.0,Travel_Rarely,Research & Development,27,3,Medical,3,1,8,7.0,1,1
Yes,26.0,Travel_Rarely,Sales,8,3,Technical Degree,1,3,4,3.0,1,2
No,34.0,Travel_Rarely,Research & Development,1,4,Life Sciences,4,3,4,2.0,1,3
No,54.0,,Research & Development,19,4,Medical,1,2,5,3.0,1,4
No,27.0,,Sales,8,1,Marketing,4,2,4,2.0,1,1
No,37.0,Travel_Rarely,Research & Development,10,1,Life Sciences,1,2,5,3.0,4,3
No,38.0,,Research & Development,2,4,Life Sciences,1,4,15,7.0,4,12
No,,Travel_Rarely,Research & Development,2,4,Medical,1,3,6,5.0,1,3
No,35.0,Travel_Rarely,Sales,8,4,Life Sciences,4,2,3,,0,2
No,,Travel_Rarely,Research & Development,1,3,Life Sciences,3,3,2,2.0,0,2
No,40.0,Travel_Frequently,Research & Development,2,2,Medical,2,4,8,7.0,3,7
No,34.0,Travel_Rarely,Sales,8,2,Life Sciences,1,2,3,2.0,1,2
No,42.0,,Research & Development,8,3,Life Sciences,4,2,24,7.0,14,9
Yes,23.0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,3,0,0.0,0,0
No,24.0,Non-Travel,Research & Development,9,3,Life Sciences,2,3,1,,0,0
No,52.0,Travel_Rarely,Research & Development,11,4,Life Sciences,3,2,5,2.0,1,4
No,50.0,,Research & Development,2,3,Medical,3,4,4,3.0,0,3
Yes,29.0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,4,1,,0,0
No,33.0,Travel_Rarely,Research & Development,7,3,Medical,3,4,13,9.0,3,7
Yes,33.0,Travel_Rarely,Sales,16,3,Marketing,1,3,3,2.0,0,2
No,47.0,,Research & Development,2,2,Other,4,3,26,14.0,3,0
No,36.0,Travel_Rarely,Research & Development,1,3,Other,2,1,9,7.0,0,5
No,29.0,Travel_Rarely,Research & Development,23,2,Life Sciences,3,3,10,7.0,0,7
Yes,58.0,Travel_Rarely,Research & Development,2,4,Life Sciences,2,4,31,,13,8
No,35.0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,3,2,2.0,2,2
No,42.0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,4,4,3.0,0,2
Yes,28.0,Travel_Rarely,Research & Development,2,4,Medical,3,4,2,2.0,2,1
No,36.0,Travel_Rarely,Human Resources,13,3,Human Resources,2,2,5,,0,4
No,32.0,Travel_Rarely,Research & Development,4,3,Life Sciences,3,3,14,13.0,6,8
No,40.0,Travel_Frequently,Research & Development,16,4,Medical,3,4,1,0.0,0,0
No,30.0,Travel_Rarely,Research & Development,2,3,Medical,4,2,0,0.0,0,0
No,45.0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,4,1,0.0,0,0
No,,Travel_Rarely,Research & Development,29,3,Life Sciences,2,4,9,8.0,7,8
No,38.0,,Research & Development,12,3,Life Sciences,1,3,4,3.0,1,2
No,34.0,Travel_Frequently,Research & Development,16,4,Life Sciences,4,3,5,2.0,1,3
Yes,49.0,Travel_Rarely,Sales,11,3,Marketing,4,1,9,8.0,7,7
Yes,55.0,,Sales,2,1,Medical,4,3,9,,7,3
No,43.0,,Research & Development,14,2,Life Sciences,1,3,4,1.0,1,0
No,27.0,Travel_Rarely,Research & Development,5,1,Technical Degree,4,2,9,8.0,0,8
No,35.0,Travel_Rarely,Research & Development,7,3,Other,3,2,8,5.0,1,6
No,28.0,Travel_Rarely,Sales,2,4,Marketing,2,1,8,7.0,7,5
No,34.0,Travel_Rarely,Human Resources,3,2,Human Resources,4,3,3,2.0,0,2
Yes,26.0,Travel_Frequently,Research & Development,5,2,Medical,3,1,8,7.0,1,7
No,27.0,Non-Travel,Research & Development,3,3,Medical,4,3,0,0.0,0,0
No,51.0,Travel_Rarely,Sales,26,4,Marketing,3,3,20,6.0,4,17
No,44.0,Travel_Rarely,Research & Development,4,3,Medical,2,4,5,2.0,2,3
No,25.0,Travel_Rarely,Research & Development,2,1,Medical,1,3,4,,0,1
No,33.0,Travel_Rarely,Sales,1,3,Medical,1,1,9,8.0,0,8
No,35.0,Travel_Rarely,Research & Development,27,1,Medical,1,4,6,5.0,1,1
No,36.0,Travel_Rarely,Sales,1,2,Life Sciences,4,4,18,,4,11
No,32.0,Travel_Rarely,Sales,13,4,Life Sciences,4,3,5,2.0,0,3
No,30.0,Travel_Frequently,Research & Development,5,4,Life Sciences,4,2,5,4.0,0,3
No,53.0,Travel_Rarely,Sales,7,2,Marketing,4,4,5,2.0,0,4
No,45.0,Travel_Rarely,Sales,9,3,Marketing,1,3,5,4.0,0,2
No,32.0,Travel_Rarely,Research & Development,8,2,Medical,3,3,5,3.0,1,3
No,,Travel_Frequently,Research & Development,25,4,Medical,4,3,9,8.0,0,0
No,37.0,Travel_Rarely,Sales,16,4,Marketing,3,4,1,0.0,0,0
No,28.0,Travel_Rarely,Human Resources,8,2,Medical,4,4,5,1.0,0,4
No,22.0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,1,2,2.0,2,2
No,,Travel_Rarely,Research & Development,8,4,Life Sciences,4,3,3,2.0,0,2
No,42.0,Travel_Frequently,Research & Development,2,1,Medical,4,4,2,1.0,2,2
No,36.0,Travel_Rarely,Human Resources,8,3,Life Sciences,1,3,5,4.0,0,3
No,25.0,Travel_Rarely,Sales,3,1,Other,1,4,5,3.0,0,3
No,35.0,Travel_Rarely,Research & Development,9,3,Life Sciences,3,2,17,,5,15
Yes,35.0,Travel_Frequently,Research & Development,25,4,Life Sciences,2,1,10,2.0,7,8
No,32.0,Non-Travel,Research & Development,1,3,Life Sciences,4,2,3,0.0,0,2
No,25.0,Travel_Rarely,Sales,4,1,Marketing,1,1,5,2.0,0,3
No,49.0,Travel_Rarely,Research & Development,1,3,Technical Degree,1,2,4,2.0,0,2
No,24.0,Non-Travel,Research & Development,4,1,Life Sciences,4,4,5,2.0,3,4
No,32.0,Travel_Frequently,Sales,5,2,Life Sciences,2,4,10,8.0,5,3
No,38.0,Travel_Rarely,Sales,9,3,Marketing,2,4,2,2.0,1,2
No,42.0,Travel_Rarely,Research & Development,3,3,Life Sciences,4,2,5,3.0,1,3
No,31.0,Travel_Rarely,Research & Development,11,4,Life Sciences,4,2,6,4.0,0,2
Yes,29.0,Travel_Rarely,Sales,1,3,Medical,3,3,3,,0,2
No,53.0,Travel_Rarely,Sales,8,3,Marketing,4,3,2,0.0,2,2
