Shipment_ID,Route,Carrier,Cargo_Type,Season,Planned_Duration_hr,Actual_Duration_hr,Delay_hr,Route_Deviation_km,Avg_Speed_kmh,Distance_km,Fuel_Consumed_L,Fuel_per_100km,Border_Crossing,Border_Delay_hr,Planned_Stops,Actual_Stops,Cargo_Temp_C,Cargo_Humidity_pct,Shipment_Weight_kg,Declared_Value_USD,Hard_Braking_Events,Speeding_Events,Idle_Time_hr,Maint_Days_Since
377,Almaty-Tashkent,SilkFreight,Electronics,Summer,10.0,14.07,4.07,35.2,49.0,690,214.4,31.08,1,2.84,2,2,18.0,52.0,12151,335121,8,4,2.4,71
378,Almaty-Bishkek,KazTrans,Electronics,Summer,4.0,6.78,2.78,32.8,35.4,240,77.4,32.27,1,2.56,3,3,19.2,53.3,7240,554874,1,3,1.52,60
379,Astana-Omsk,SteppeLog,Pharma,Summer,10.0,12.78,2.78,12.7,59.5,760,237.0,31.19,1,2.16,3,3,4.0,55.4,8195,395509,1,3,0.68,86
380,Almaty-Tashkent,KazTrans,Pharma,Summer,10.0,13.3,3.3,11.4,51.9,690,165.7,24.02,1,1.4,1,1,4.2,49.4,5374,101212,2,5,0.44,23
381,Almaty-Tashkent,KazTrans,Food,Summer,10.0,14.79,4.79,44.2,46.7,690,186.4,27.01,1,3.58,1,1,2.5,48.0,9828,190153,4,0,0.0,56
382,Almaty-Astana,SilkFreight,Electronics,Summer,14.0,14.21,0.21,10.9,77.4,1100,368.7,33.52,0,0.0,1,2,16.6,57.6,6048,349560,3,1,0.0,4
383,Almaty-Tashkent,EuroAsia Cargo,Food,Autumn,10.0,14.05,4.05,6.9,49.1,690,220.9,32.01,1,3.09,1,1,15.5,94.0,11256,348425,3,4,1.01,75
384,Astana-Novosibirsk,TransCentral,Pharma,Winter,18.0,23.66,5.66,9.9,60.4,1430,449.0,31.4,1,2.62,3,3,4.5,56.7,10663,155482,3,1,0.85,86
385,Almaty-Astana,TransCentral,Automotive,Spring,14.0,14.28,0.28,20.3,77.0,1100,283.6,25.78,0,0.0,3,3,15.9,43.8,10925,709801,3,3,1.58,6
386,Aktau-Atyrau,SilkFreight,Food,Spring,7.0,8.84,1.84,19.2,54.3,480,122.5,25.52,0,0.0,2,3,0.9,51.5,7235,313682,6,0,1.8,88
387,Astana-Novosibirsk,EuroAsia Cargo,Electronics,Spring,18.0,23.24,5.24,0.2,61.5,1430,417.6,29.2,1,4.0,3,3,23.2,50.3,11945,406293,4,2,0.33,38
388,Astana-Novosibirsk,SilkFreight,Automotive,Winter,18.0,24.87,6.87,5.1,57.5,1430,394.3,27.57,1,3.85,1,1,17.6,43.4,5256,151592,4,1,0.24,73
389,Astana-Omsk,SilkFreight,FMCG,Winter,10.0,13.55,3.55,8.2,56.1,760,203.8,26.82,1,1.94,2,3,20.2,46.5,5964,399751,3,0,1.73,61
390,Astana-Omsk,TransCentral,FMCG,Spring,10.0,15.38,5.38,21.0,49.4,760,206.9,27.22,1,4.19,3,3,22.8,54.5,6761,217204,3,2,1.72,80
391,Aktobe-Atyrau,EuroAsia Cargo,Electronics,Winter,8.0,11.68,3.68,29.9,47.9,560,152.0,27.15,0,0.0,3,4,21.7,41.5,5675,206075,4,5,0.77,48
392,Astana-Omsk,EuroAsia Cargo,FMCG,Winter,10.0,14.5,4.5,0.0,52.4,760,216.0,28.42,1,1.42,2,3,17.8,62.0,11669,732704,3,2,1.08,28
393,Astana-Omsk,EuroAsia Cargo,Industrial,Winter,10.0,15.62,5.62,5.3,48.7,760,212.2,27.92,1,3.76,3,3,18.8,51.8,9754,586939,2,1,1.96,14
394,Aktau-Atyrau,EuroAsia Cargo,Industrial,Autumn,7.0,9.28,2.28,28.4,51.7,480,121.5,25.31,0,0.0,1,2,20.3,46.5,10192,60295,4,3,2.28,52
395,Astana-Novosibirsk,SteppeLog,Automotive,Spring,18.0,21.72,3.72,28.4,65.8,1430,443.3,31.0,1,1.18,1,1,18.9,62.7,13648,366701,3,3,1.23,66
396,Astana-Novosibirsk,SteppeLog,Industrial,Summer,18.0,22.48,4.48,4.2,63.6,1430,421.1,29.45,1,3.49,3,3,19.1,60.1,7991,134262,0,2,1.52,67
397,Almaty-Tashkent,KazTrans,Pharma,Summer,10.0,16.45,6.45,27.1,41.9,690,181.7,26.33,1,4.85,1,1,4.1,48.2,7772,71489,7,2,1.17,51
398,Almaty-Astana,SilkFreight,Industrial,Spring,14.0,36.41,22.41,23.6,30.2,1100,326.8,29.71,0,0.0,3,2,17.4,51.8,5799,354006,17,5,6.21,119
399,Shymkent-Taraz,EuroAsia Cargo,Electronics,Summer,3.0,4.39,1.39,1.3,45.6,200,53.3,26.64,0,0.0,3,3,16.6,57.0,6979,350376,2,4,0.66,4
400,Shymkent-Taraz,SteppeLog,FMCG,Winter,3.0,4.71,1.71,34.8,42.4,200,58.0,29.01,0,0.0,2,2,18.5,46.5,6722,226484,2,3,0.95,9
401,Almaty-Astana,TransCentral,Automotive,Winter,14.0,16.58,2.58,32.0,66.3,1100,374.2,34.02,0,0.0,2,2,19.6,46.5,6396,132701,3,2,0.55,84
402,Astana-Omsk,TransCentral,Automotive,Autumn,10.0,14.1,4.1,13.2,53.9,760,217.7,28.64,1,2.7,1,1,18.8,34.9,4962,248564,2,2,0.14,7
403,Aktobe-Atyrau,KazTrans,FMCG,Summer,8.0,8.48,0.48,0.0,66.1,560,152.4,27.21,0,0.0,3,3,20.4,69.7,11819,800118,4,2,1.03,39
404,Shymkent-Taraz,EuroAsia Cargo,Food,Autumn,3.0,5.34,2.34,27.4,37.4,200,53.6,26.81,0,0.0,3,3,3.3,58.1,3933,271604,0,2,0.26,47
405,Astana-Omsk,SilkFreight,FMCG,Autumn,10.0,13.96,3.96,11.4,54.4,760,231.8,30.49,1,2.03,2,3,16.9,41.1,13707,928705,6,1,2.09,40
406,Aktau-Atyrau,SteppeLog,Automotive,Summer,7.0,7.18,0.18,14.8,66.9,480,122.1,25.43,0,0.0,3,3,16.1,39.7,7638,536085,2,2,0.72,59
407,Astana-Omsk,SteppeLog,Pharma,Autumn,10.0,12.28,2.28,0.9,61.9,760,214.7,28.26,1,1.88,2,2,3.7,59.6,12242,361170,2,2,0.15,20
408,Almaty-Bishkek,EuroAsia Cargo,FMCG,Summer,4.0,8.25,4.25,22.9,29.1,240,95.7,39.89,1,3.67,2,3,16.8,40.7,9385,578045,3,6,0.41,72
409,Almaty-Tashkent,KazTrans,Food,Spring,10.0,15.55,5.55,32.5,44.4,690,188.5,27.32,1,2.93,2,2,-2.0,44.0,6310,362359,0,0,0.25,3
410,Astana-Omsk,KazTrans,Pharma,Winter,10.0,18.6,8.6,9.9,40.9,760,220.1,28.96,1,6.3,3,3,2.8,48.2,8200,615093,3,1,1.94,58
411,Almaty-Astana,KazTrans,Industrial,Spring,14.0,14.71,0.71,0.0,74.8,1100,317.4,28.85,0,0.0,1,1,20.6,55.8,9695,394463,4,1,1.46,80
412,Aktau-Atyrau,TransCentral,FMCG,Autumn,7.0,7.4,0.4,13.2,64.9,480,120.1,25.03,0,0.0,1,1,16.4,53.1,10923,848854,5,1,1.59,69
413,Almaty-Tashkent,EuroAsia Cargo,Automotive,Spring,10.0,14.76,4.76,0.0,46.8,690,210.3,30.47,1,3.03,3,3,18.0,57.1,1655,106414,3,4,1.22,38
414,Almaty-Astana,SilkFreight,Industrial,Winter,14.0,16.75,2.75,14.2,65.7,1100,316.0,28.72,0,0.0,3,3,19.1,63.0,9134,730383,2,1,1.18,27
415,Aktau-Atyrau,TransCentral,Pharma,Summer,7.0,7.96,0.96,22.4,60.3,480,115.8,24.13,0,0.0,3,4,3.8,52.0,12227,676090,2,2,1.54,6
416,Almaty-Astana,KazTrans,Automotive,Summer,14.0,14.64,0.64,36.7,75.1,1100,321.0,29.18,0,0.0,1,2,21.2,47.1,6357,58549,3,3,0.88,44
417,Almaty-Astana,SteppeLog,FMCG,Winter,14.0,19.26,5.26,26.8,57.1,1100,323.5,29.41,0,0.0,2,2,23.4,69.7,14885,880083,4,1,1.72,64
418,Almaty-Bishkek,KazTrans,Food,Summer,4.0,10.38,6.38,40.5,23.1,240,69.6,29.0,1,5.32,2,2,1.6,58.2,12240,106393,3,2,0.73,12
419,Almaty-Tashkent,SteppeLog,Automotive,Summer,10.0,14.16,4.16,31.2,48.7,690,196.1,28.41,1,2.36,3,3,16.0,40.8,7760,79405,3,5,1.45,12
420,Shymkent-Taraz,TransCentral,Automotive,Autumn,3.0,3.9,0.9,9.4,51.3,200,51.1,25.53,0,0.0,3,4,19.4,45.5,9503,263189,4,2,0.95,52
421,Astana-Novosibirsk,SilkFreight,Pharma,Autumn,18.0,21.73,3.73,36.7,65.8,1430,448.7,31.37,1,1.07,3,3,4.8,35.9,7036,470335,7,3,0.81,58
422,Astana-Omsk,SilkFreight,Electronics,Summer,10.0,13.94,3.94,18.2,54.5,760,189.5,24.94,1,2.53,1,2,21.6,59.6,10408,495869,1,4,0.52,1
423,Aktau-Atyrau,TransCentral,FMCG,Summer,7.0,8.5,1.5,29.7,56.4,480,119.5,24.89,0,0.0,3,3,13.4,48.9,8482,502417,2,0,0.87,83
424,Aktobe-Atyrau,EuroAsia Cargo,Electronics,Winter,8.0,9.26,1.26,0.8,60.5,560,144.7,25.84,0,0.0,3,4,16.3,46.3,6546,303270,1,0,2.05,35
425,Almaty-Astana,KazTrans,Industrial,Spring,14.0,14.56,0.56,14.0,75.5,1100,307.2,27.92,0,0.0,1,1,19.0,47.1,6686,311214,4,2,0.3,52
426,Almaty-Astana,EuroAsia Cargo,Food,Spring,14.0,16.58,2.58,17.2,66.3,1100,326.7,29.7,0,0.0,1,2,3.3,58.5,4113,256344,2,3,1.9,49
427,Almaty-Tashkent,SilkFreight,Industrial,Summer,10.0,14.36,4.36,32.8,48.0,690,200.5,29.06,1,4.17,3,3,16.8,46.5,7799,355312,0,2,0.31,47
428,Astana-Omsk,EuroAsia Cargo,FMCG,Summer,10.0,11.7,1.7,20.7,65.0,760,218.6,28.77,1,1.22,2,2,21.4,48.7,11218,195803,5,1,1.54,70
429,Shymkent-Taraz,TransCentral,Automotive,Summer,3.0,3.46,0.46,0.0,57.9,200,55.1,27.57,0,0.0,1,1,16.6,46.2,9089,511705,3,2,1.72,66
430,Shymkent-Taraz,TransCentral,Automotive,Summer,3.0,3.82,0.82,30.2,52.3,200,58.5,29.27,0,0.0,3,3,20.5,48.1,8937,113453,3,1,1.23,24
431,Astana-Omsk,KazTrans,Food,Spring,10.0,16.26,6.26,29.5,46.7,760,226.6,29.82,1,4.83,1,1,3.0,54.4,7700,275145,2,0,0.9,36
432,Astana-Novosibirsk,KazTrans,Electronics,Spring,18.0,20.94,2.94,18.0,68.3,1430,399.7,27.95,1,2.34,2,3,14.0,63.0,8516,484479,2,1,2.01,80
433,Astana-Omsk,SilkFreight,Industrial,Spring,10.0,13.47,3.47,20.8,56.4,760,225.1,29.62,1,1.68,3,3,15.7,48.3,6811,489174,2,2,1.85,6
434,Aktobe-Atyrau,SilkFreight,Automotive,Spring,8.0,9.22,1.22,16.7,60.7,560,136.3,24.35,0,0.0,1,1,20.0,55.6,6458,324806,0,4,2.31,64
435,Shymkent-Taraz,KazTrans,Pharma,Spring,3.0,3.73,0.73,16.6,53.6,200,52.7,26.37,0,0.0,1,1,4.1,54.6,12802,658221,2,0,1.22,19
436,Astana-Omsk,SteppeLog,Industrial,Winter,10.0,12.34,2.34,21.1,61.6,760,200.3,26.36,1,1.28,2,2,20.7,64.8,7675,294172,2,1,0.89,48
437,Almaty-Tashkent,SilkFreight,Electronics,Summer,10.0,14.03,4.03,33.7,49.2,690,222.6,32.26,1,3.15,1,2,11.7,53.0,6136,242301,5,4,1.36,88
438,Aktau-Atyrau,KazTrans,Automotive,Spring,7.0,7.43,0.43,18.4,64.6,480,128.3,26.72,0,0.0,1,2,13.4,30.0,4804,38438,2,4,0.85,37
439,Astana-Novosibirsk,TransCentral,Pharma,Spring,18.0,21.08,3.08,28.3,67.8,1430,426.2,29.8,1,1.28,2,2,4.7,72.3,10107,641940,0,0,0.88,74
440,Almaty-Bishkek,SilkFreight,Automotive,Spring,4.0,8.26,4.26,0.4,29.1,240,66.0,27.49,1,2.11,1,2,15.5,38.1,1056,51583,2,1,0.51,29
441,Almaty-Astana,SilkFreight,Industrial,Winter,14.0,18.31,4.31,24.0,60.1,1100,276.6,25.15,0,0.0,2,3,18.4,45.8,4586,290827,2,2,0.61,34
442,Almaty-Bishkek,SilkFreight,Industrial,Summer,4.0,8.23,4.23,6.8,29.2,240,70.7,29.44,1,3.72,3,3,16.7,52.6,9435,215898,2,2,1.7,27
443,Almaty-Bishkek,SteppeLog,FMCG,Autumn,4.0,8.69,4.69,10.5,27.6,240,80.5,33.55,1,4.38,3,3,16.7,47.7,7573,199860,4,1,2.04,49
444,Almaty-Bishkek,SilkFreight,Industrial,Spring,4.0,6.92,2.92,19.6,34.7,240,69.2,28.82,1,2.58,3,3,19.7,59.9,7055,153128,5,0,0.71,73
445,Aktau-Atyrau,EuroAsia Cargo,Pharma,Summer,7.0,7.68,0.68,6.1,62.5,480,123.7,25.77,0,0.0,3,3,4.1,60.7,11285,720068,2,0,2.05,51
446,Aktau-Atyrau,EuroAsia Cargo,Pharma,Autumn,7.0,16.35,9.35,13.1,29.4,480,141.1,29.39,0,0.0,3,1,19.4,52.8,10569,340003,19,1,6.97,107
447,Almaty-Astana,KazTrans,Pharma,Winter,14.0,17.94,3.94,23.5,61.3,1100,326.9,29.72,0,0.0,2,2,3.9,53.3,9188,180767,3,2,1.15,6
448,Aktau-Atyrau,TransCentral,Automotive,Summer,7.0,9.19,2.19,41.2,52.2,480,284.5,59.27,0,0.0,2,2,20.6,30.0,9853,207901,3,2,1.65,12
449,Almaty-Bishkek,TransCentral,FMCG,Autumn,4.0,7.25,3.25,19.7,33.1,240,81.0,33.77,1,2.53,2,2,14.9,41.7,5388,134409,1,2,1.29,58
450,Almaty-Astana,SteppeLog,FMCG,Winter,14.0,17.96,3.96,6.7,61.2,1100,296.0,26.91,0,0.0,1,1,17.7,55.1,4250,308978,1,0,1.61,59
451,Almaty-Tashkent,TransCentral,Food,Summer,10.0,12.78,2.78,2.5,54.0,690,172.7,25.02,1,0.93,1,1,4.7,53.9,14120,733734,4,3,2.2,56
452,Aktobe-Atyrau,TransCentral,Electronics,Spring,8.0,8.86,0.86,13.0,63.2,560,158.9,28.38,0,0.0,2,2,18.4,60.5,6063,108016,6,3,1.56,36
453,Almaty-Tashkent,KazTrans,Pharma,Winter,10.0,16.59,6.59,12.0,41.6,690,229.4,33.25,1,4.06,1,1,5.3,51.9,5176,135699,9,2,2.08,31
454,Almaty-Astana,TransCentral,FMCG,Spring,14.0,16.3,2.3,10.3,67.5,1100,288.0,26.18,0,0.0,3,3,17.4,46.6,11084,616988,5,2,0.96,44
455,Almaty-Astana,EuroAsia Cargo,Automotive,Autumn,14.0,16.05,2.05,5.9,68.5,1100,301.5,27.41,0,0.0,3,3,21.4,48.4,3141,72520,4,1,1.26,59
456,Aktau-Atyrau,KazTrans,Pharma,Winter,7.0,8.21,1.21,14.3,58.4,480,124.9,26.03,0,0.0,3,3,4.6,46.8,9223,477092,3,2,1.05,56
457,Astana-Novosibirsk,SteppeLog,Food,Summer,18.0,21.97,3.97,4.0,65.1,1430,401.1,28.05,1,1.74,1,1,3.1,49.8,9156,257772,4,4,0.73,74
458,Almaty-Bishkek,EuroAsia Cargo,Food,Winter,4.0,8.68,4.68,20.1,27.6,240,85.0,35.42,1,2.23,1,1,4.5,41.6,9254,531868,2,4,0.36,33
459,Almaty-Astana,EuroAsia Cargo,Industrial,Winter,14.0,16.09,2.09,19.2,68.4,1100,299.2,27.2,0,0.0,1,1,20.6,41.7,6782,84091,5,2,0.1,70
460,Almaty-Bishkek,SilkFreight,Electronics,Autumn,4.0,9.07,5.07,35.3,26.4,240,81.7,34.04,1,4.16,2,2,12.6,38.2,8111,607709,3,1,1.77,3
461,Almaty-Bishkek,SilkFreight,Automotive,Spring,4.0,9.87,5.87,7.6,24.3,240,79.5,33.12,1,4.0,3,3,15.3,66.2,5985,309728,5,3,0.98,73
462,Almaty-Astana,SilkFreight,Automotive,Autumn,14.0,15.39,1.39,36.3,71.5,1100,316.4,28.76,0,0.0,2,2,18.8,53.5,11883,668848,1,3,1.23,71
463,Aktau-Atyrau,TransCentral,FMCG,Summer,7.0,7.67,0.67,21.0,62.5,480,124.4,25.91,0,0.0,1,1,13.9,43.5,13688,603370,5,1,1.92,57
464,Almaty-Astana,TransCentral,Industrial,Winter,14.0,16.9,2.9,3.4,65.1,1100,253.0,23.0,0,0.0,2,2,18.3,61.1,12012,914673,2,3,1.17,73
465,Aktau-Atyrau,EuroAsia Cargo,Automotive,Summer,7.0,8.14,1.14,11.0,58.9,480,129.8,27.04,0,0.0,1,1,22.9,50.7,8108,554962,1,5,2.01,81
466,Almaty-Astana,SteppeLog,Industrial,Summer,14.0,14.82,0.82,6.8,74.2,1100,318.7,28.97,0,0.0,1,1,16.3,51.0,10837,806449,1,0,1.64,44
467,Almaty-Astana,TransCentral,FMCG,Summer,14.0,14.21,0.21,18.2,77.4,1100,322.6,29.33,0,0.0,2,2,19.1,70.0,9879,433010,3,2,0.23,58
468,Shymkent-Taraz,KazTrans,Electronics,Winter,3.0,4.68,1.68,17.0,42.7,200,56.5,28.25,0,0.0,2,2,20.0,63.6,8437,200516,1,1,0.7,76
469,Astana-Omsk,EuroAsia Cargo,FMCG,Summer,10.0,11.78,1.78,23.6,64.5,760,228.1,30.02,1,0.7,3,3,22.2,55.4,8787,180998,3,4,2.01,18
470,Aktobe-Atyrau,KazTrans,FMCG,Autumn,8.0,9.78,1.78,26.4,57.3,560,164.0,29.28,0,0.0,3,3,19.0,46.7,10720,700249,3,2,1.67,84
471,Shymkent-Taraz,KazTrans,Electronics,Summer,3.0,4.5,1.5,12.6,44.5,200,60.6,30.3,0,0.0,2,2,16.7,36.4,9793,491691,2,0,1.15,31
472,Almaty-Astana,EuroAsia Cargo,FMCG,Autumn,14.0,17.02,3.02,36.4,64.6,1100,298.1,27.1,0,0.0,1,1,24.2,45.2,6672,65526,5,1,1.39,82
473,Shymkent-Taraz,TransCentral,FMCG,Summer,3.0,3.06,0.06,37.6,65.4,200,57.9,28.93,0,0.0,2,2,19.7,58.3,6045,366297,1,1,1.16,64
474,Astana-Novosibirsk,TransCentral,Electronics,Autumn,18.0,23.95,5.95,20.9,59.7,1430,379.9,26.56,1,3.42,3,3,21.4,63.8,2974,102612,1,2,1.37,5
475,Astana-Omsk,EuroAsia Cargo,Electronics,Spring,10.0,12.35,2.35,27.4,61.5,760,201.3,26.49,1,0.5,1,1,18.8,62.7,8816,111265,5,0,1.21,20
476,Almaty-Astana,SteppeLog,Electronics,Spring,14.0,16.3,2.3,29.0,67.5,1100,369.6,33.6,0,0.0,1,1,18.5,61.1,10196,193625,2,4,1.04,0
477,Almaty-Astana,EuroAsia Cargo,Food,Spring,14.0,14.18,0.18,19.0,77.6,1100,269.7,24.51,0,0.0,1,1,2.7,46.7,8372,66500,1,2,2.06,71
478,Shymkent-Taraz,SteppeLog,FMCG,Autumn,3.0,4.42,1.42,43.4,45.3,200,61.3,30.63,0,0.0,1,1,19.0,55.9,5587,54833,3,0,0.5,74
479,Almaty-Tashkent,SteppeLog,Electronics,Summer,10.0,15.07,5.07,5.6,45.8,690,179.8,26.06,1,3.59,2,2,21.4,55.5,6985,62308,5,1,0.61,22
480,Almaty-Tashkent,SteppeLog,Pharma,Spring,10.0,13.62,3.62,15.9,50.7,690,217.5,31.52,1,2.44,3,3,2.8,52.4,11231,806237,0,1,0.92,26
481,Almaty-Astana,KazTrans,FMCG,Winter,14.0,19.24,5.24,20.8,57.2,1100,265.4,24.13,0,0.0,3,3,16.1,52.6,5905,296667,4,0,0.9,43
482,Astana-Novosibirsk,KazTrans,Industrial,Winter,18.0,23.51,5.51,1.5,60.8,1430,427.7,29.91,1,3.16,1,1,21.3,61.8,11129,811642,1,0,0.85,13
483,Shymkent-Taraz,SilkFreight,Pharma,Autumn,3.0,3.0,0.0,21.5,66.7,200,55.7,27.84,0,0.0,2,2,5.6,46.6,10145,564522,1,3,1.39,32
484,Aktobe-Atyrau,SilkFreight,FMCG,Winter,8.0,10.87,2.87,10.9,51.5,560,129.0,23.03,0,0.0,3,3,24.3,63.3,9192,375826,2,4,0.55,10
485,Astana-Novosibirsk,TransCentral,Food,Summer,18.0,19.72,1.72,12.7,72.5,1430,468.3,32.75,1,0.8,3,4,5.0,47.5,4971,115813,2,2,0.0,20
486,Almaty-Astana,TransCentral,FMCG,Autumn,14.0,15.61,1.61,14.7,70.5,1100,347.0,31.54,0,0.0,3,3,19.1,44.4,9213,369822,3,2,1.64,27
487,Almaty-Tashkent,KazTrans,FMCG,Winter,10.0,12.34,2.34,22.1,55.9,690,217.5,31.52,1,2.02,2,2,18.8,53.0,9312,571484,4,1,1.51,87
488,Astana-Novosibirsk,TransCentral,Pharma,Autumn,18.0,23.26,5.26,17.1,61.5,1430,417.9,29.23,1,1.79,3,3,4.0,44.5,7248,492576,2,5,1.59,13
489,Almaty-Tashkent,TransCentral,FMCG,Summer,10.0,12.06,2.06,15.4,57.2,690,203.9,29.56,1,0.58,3,4,19.0,54.4,11026,817386,3,3,1.97,51
490,Almaty-Astana,KazTrans,Automotive,Spring,14.0,14.77,0.77,11.7,74.5,1100,310.7,28.24,0,0.0,1,2,20.8,52.0,7964,387104,3,5,1.36,63
491,Astana-Omsk,SteppeLog,Automotive,Summer,10.0,14.33,4.33,16.8,53.0,760,219.7,28.91,1,2.96,1,2,19.7,50.7,10560,363432,1,2,1.17,81
492,Astana-Novosibirsk,EuroAsia Cargo,Food,Winter,18.0,23.9,5.9,23.5,59.8,1430,394.5,27.59,1,0.5,2,3,2.8,62.7,5558,212501,2,3,1.4,24
493,Almaty-Bishkek,TransCentral,Electronics,Summer,4.0,10.45,6.45,37.6,23.0,240,76.4,31.83,1,4.31,2,2,20.7,44.9,9379,277224,5,4,0.27,63
494,Astana-Novosibirsk,EuroAsia Cargo,Pharma,Winter,18.0,23.15,5.15,15.4,61.8,1430,394.4,27.58,1,2.56,1,1,5.2,51.5,4439,27790,2,2,1.62,79
495,Aktobe-Atyrau,SilkFreight,FMCG,Summer,8.0,10.31,2.31,0.0,54.3,560,169.4,30.24,0,0.0,3,3,18.3,40.9,9578,177235,1,0,0.18,53
496,Almaty-Tashkent,SteppeLog,Pharma,Spring,10.0,14.67,4.67,21.9,47.0,690,197.0,28.55,1,3.58,2,2,4.7,46.3,7295,299539,3,3,1.57,73
497,Astana-Novosibirsk,TransCentral,Automotive,Spring,18.0,26.42,8.42,249.9,54.1,1430,416.0,29.09,1,4.06,3,6,17.0,54.3,500,264400,3,0,4.83,34
498,Aktau-Atyrau,SilkFreight,Industrial,Spring,7.0,7.54,0.54,28.1,63.6,480,134.9,28.1,0,0.0,3,3,19.5,54.6,12427,985378,3,5,0.88,77
499,Almaty-Bishkek,KazTrans,Industrial,Winter,4.0,10.69,6.69,0.0,22.5,240,69.6,28.99,1,5.44,2,2,18.8,54.1,847,23408,2,2,2.45,68
500,Aktobe-Atyrau,TransCentral,Electronics,Summer,8.0,9.09,1.09,4.8,61.6,560,151.5,27.06,0,0.0,2,3,15.2,49.8,5473,194032,2,0,0.02,3
501,Almaty-Astana,SteppeLog,Pharma,Spring,14.0,16.95,2.95,28.7,64.9,1100,337.9,30.71,0,0.0,1,1,5.9,61.1,8741,344487,2,1,1.52,63
502,Almaty-Astana,EuroAsia Cargo,Pharma,Winter,14.0,16.97,2.97,10.8,64.8,1100,342.0,31.09,0,0.0,3,3,2.9,38.5,10534,402943,4,4,0.37,37
503,Aktau-Atyrau,TransCentral,Industrial,Winter,7.0,10.11,3.11,6.3,47.5,480,126.9,26.44,0,0.0,2,2,20.1,36.3,9381,576345,5,1,1.3,73
504,Almaty-Astana,TransCentral,Automotive,Spring,14.0,15.29,1.29,0.0,71.9,1100,313.3,28.48,0,0.0,2,3,17.3,49.1,4722,333609,5,0,0.34,27
505,Astana-Novosibirsk,KazTrans,Electronics,Winter,18.0,24.98,6.98,28.2,57.3,1430,351.2,24.56,1,1.91,2,2,18.7,55.1,15366,351556,1,1,0.98,43
506,Aktobe-Atyrau,SteppeLog,Electronics,Winter,8.0,10.65,2.65,41.6,52.6,560,146.4,26.14,0,0.0,1,1,20.8,62.2,10676,387792,3,0,0.73,70
507,Aktau-Atyrau,TransCentral,FMCG,Summer,7.0,8.4,1.4,13.2,57.2,480,120.6,25.12,0,0.0,1,1,14.3,55.0,8902,632748,9,1,0.82,52
508,Astana-Omsk,TransCentral,Food,Autumn,10.0,13.12,3.12,25.6,57.9,760,218.6,28.77,1,2.36,3,3,3.1,56.0,8989,419648,4,3,0.0,72
509,Almaty-Bishkek,SteppeLog,Electronics,Summer,4.0,6.39,2.39,38.2,37.5,240,72.8,30.33,1,1.57,1,1,13.9,52.2,6279,447616,3,1,1.32,10
510,Almaty-Tashkent,SilkFreight,Electronics,Spring,10.0,14.2,4.2,33.0,48.6,690,181.6,26.32,1,3.57,1,1,20.5,51.4,7715,568987,2,5,0.88,66
511,Astana-Novosibirsk,TransCentral,Automotive,Summer,18.0,22.45,4.45,20.3,63.7,1430,448.1,31.33,1,3.55,2,2,21.3,40.0,9826,492952,2,2,0.77,53
512,Almaty-Astana,KazTrans,Electronics,Autumn,14.0,16.26,2.26,7.2,67.7,1100,298.0,27.1,0,0.0,3,3,16.6,44.3,4025,209459,4,1,0.68,11
513,Almaty-Astana,KazTrans,Food,Autumn,14.0,15.34,1.34,30.4,71.7,1100,321.5,29.23,0,0.0,2,2,0.7,53.7,9733,266039,3,0,1.02,4
514,Almaty-Astana,SteppeLog,Electronics,Spring,14.0,15.27,1.27,25.8,72.0,1100,323.6,29.42,0,0.0,3,3,15.9,38.1,5217,350854,4,1,0.4,28
515,Shymkent-Taraz,TransCentral,Electronics,Autumn,3.0,4.33,1.33,21.7,46.1,200,58.1,29.05,0,0.0,1,1,13.2,33.8,12375,839374,0,3,1.26,76
516,Astana-Novosibirsk,SilkFreight,Electronics,Spring,18.0,23.4,5.4,0.0,61.1,1430,414.3,28.97,1,4.17,2,2,19.7,53.9,9882,111264,5,1,2.09,45
517,Aktobe-Atyrau,SteppeLog,Electronics,Spring,8.0,9.93,1.93,13.7,56.4,560,138.5,24.73,0,0.0,1,1,16.5,44.9,7963,98770,1,2,1.74,83
518,Shymkent-Taraz,KazTrans,FMCG,Winter,3.0,3.78,0.78,32.6,52.9,200,56.5,28.23,0,0.0,3,3,18.3,59.6,8619,540292,2,3,1.38,77
519,Almaty-Astana,KazTrans,Industrial,Spring,14.0,15.06,1.06,13.9,73.1,1100,324.3,29.48,0,0.0,2,2,17.5,48.9,7685,587168,8,2,0.7,32
520,Almaty-Astana,SteppeLog,FMCG,Autumn,14.0,15.18,1.18,28.6,72.5,1100,335.5,30.5,0,0.0,2,2,17.6,51.4,11048,327007,5,1,1.71,31
521,Almaty-Bishkek,SteppeLog,Electronics,Winter,4.0,10.44,6.44,33.2,23.0,240,66.3,27.63,1,4.86,3,3,19.5,47.0,5794,64498,4,2,1.83,43
522,Almaty-Bishkek,TransCentral,Electronics,Autumn,4.0,7.76,3.76,28.2,30.9,240,92.8,38.67,1,2.5,2,2,17.4,48.7,9304,164222,2,5,0.19,17
523,Astana-Novosibirsk,EuroAsia Cargo,FMCG,Spring,18.0,27.21,9.21,28.4,52.6,1430,373.1,26.09,1,6.7,2,2,20.6,41.2,8849,673817,2,1,1.52,24
